notice_id,candidate_count,portal_id
N000001,0,P136
N000009,1,P011
N000017,0,P238
N000025,0,P111
N000033,23,P088
N000041,4,P044
N000049,4,P003
N000057,2,P195
N000065,114,P003
N000073,91,P001
N000081,1,P053
N000089,21,P002
N000097,1,P006
N000105,274,P002
N000113,22,P228
N000121,0,P042
N000129,4,P005
N000137,91,P003
N000145,119,P002
N000153,4,P002
N000161,65,P002
N000169,5,P004
N000177,1,P003
N000185,3,P081
N000193,13,P003
N000201,4,P211
N000209,0,P004
N000217,27,P001
N000225,1,P014
N000233,0,P094
N000241,64,P006
N000249,2,P248
N000257,4,P207
N000265,5,P172
N000273,0,P232
N000281,3,P215
N000289,17,P071
N000297,0,P004
N000305,1,P094
N000313,3,P004
N000321,47,P006
N000329,100,P001
N000337,108,P005
N000345,0,P226
N000353,12,P005
N000361,1,P142
N000369,0,P094
N000377,0,P003
N000385,1,P094
N000393,7,P020
N000401,3,P094
N000409,22,P006
N000417,3,P136
N000425,57,P002
N000433,4,P192
N000441,3,P086
N000449,3,P187
N000457,17,P006
N000465,2,P183
N000473,417,P005
N000481,0,P042
N000489,4,P114
N000497,31,P006
N000505,6,P240
N000513,3,P087
N000521,1,P094
N000529,5,P146
N000537,0,P013
N000545,29,P006
N000553,6,P214
N000561,1,P002
N000569,4,P003
N000577,1,P046
N000585,14,P004
N000593,115,P002
N000601,178,P002
N000609,2,P061
N000617,83,P001
N000625,294,P001
N000633,134,P004
N000641,0,P096
N000649,22,P003
N000657,15,P094
N000665,50,P246
N000673,129,P001
N000681,6,P094
N000689,185,P002
N000697,102,P001
N000705,105,P004
N000713,12,P239
N000721,254,P005
N000729,10,P020
N000737,0,P208
N000745,7,P121
N000753,2,P094
N000761,4,P094
N000769,91,P001
N000777,2,P127
N000785,4,P129
N000793,0,P094
N000801,0,P091
N000809,2,P064
N000817,27,P003
N000825,0,P240
N000833,12,P136
N000841,112,P005
N000849,0,P221
N000857,11,P240
N000865,3,P006
N000873,10,P004
N000881,3,P231
N000889,77,P001
N000897,344,P001
N000905,71,P001
N000913,1,P094
N000921,46,P001
N000929,2,P003
N000937,0,P094
N000945,97,P002
N000953,0,P240
N000961,25,P004
N000969,7,P094
N000977,36,P002
N000985,67,P006
N000993,2,P129
N001001,176,P001
N001009,3,P183
N001017,8,P094
N001025,41,P005
N001033,0,P136
N001041,3,P094
N001049,85,P004
N001057,116,P002
N001065,2,P103
N001073,6,P020
N001081,0,P010
N001089,2,P168
N001097,2,P240
N001105,71,P002
N001113,0,P020
N001121,20,P020
N001129,3,P046
N001137,0,P225
N001145,110,P002
N001153,121,P001
N001161,68,P006
N001169,119,P002
N001177,10,P094
N001185,3,P006
N001193,0,P020
N001201,271,P005
N001209,0,P136
N001217,2,P057
N001225,3,P236
N001233,0,P094
N001241,0,P020
N001249,9,P094
