notice_id,candidate_count,portal_id
N000001,0,P136
N000009,0,P011
N000017,0,P238
N000025,0,P111
N000033,2,P088
N000041,1,P044
N000049,0,P003
N000057,5,P195
N000065,0,P003
N000073,1,P001
N000081,0,P053
N000089,3,P002
N000097,0,P006
N000105,0,P002
N000113,6,P228
N000121,0,P042
N000129,2,P005
N000137,3,P003
N000145,3,P002
N000153,2,P002
N000161,1,P002
N000169,4,P004
N000177,1,P003
N000185,2,P081
N000193,1,P003
N000201,5,P211
N000209,0,P004
N000217,3,P001
N000225,1,P014
N000233,1,P094
N000241,0,P006
N000249,2,P248
N000257,6,P207
N000265,5,P172
N000273,0,P232
N000281,3,P215
N000289,4,P071
N000297,0,P004
N000305,4,P094
N000313,4,P004
N000321,3,P006
N000329,0,P001
N000337,0,P005
N000345,0,P226
N000353,2,P005
N000361,0,P142
N000369,0,P094
N000377,0,P003
N000385,0,P094
N000393,1,P020
N000401,2,P094
N000409,4,P006
N000417,3,P136
N000425,1,P002
N000433,1,P192
N000441,0,P086
N000449,5,P187
N000457,0,P006
N000465,2,P183
N000473,4,P005
N000481,0,P042
N000489,0,P114
N000497,0,P006
N000505,4,P240
N000513,3,P087
N000521,3,P094
N000529,5,P146
N000537,0,P013
N000545,4,P006
N000553,5,P214
N000561,0,P002
N000569,0,P003
N000577,0,P046
N000585,0,P004
N000593,2,P002
N000601,2,P002
N000609,2,P061
N000617,3,P001
N000625,0,P001
N000633,0,P004
N000641,0,P096
N000649,0,P003
N000657,0,P094
N000665,2,P246
N000673,4,P001
N000681,6,P094
N000689,1,P002
N000697,0,P001
N000705,2,P004
N000713,1,P239
N000721,1,P005
N000729,4,P020
N000737,0,P208
N000745,7,P121
N000753,2,P094
N000761,6,P094
N000769,0,P001
N000777,2,P127
N000785,4,P129
N000793,1,P094
N000801,0,P091
N000809,2,P064
N000817,3,P003
N000825,1,P240
N000833,6,P136
N000841,0,P005
N000849,0,P221
N000857,0,P240
N000865,3,P006
N000873,3,P004
N000881,3,P231
N000889,3,P001
N000897,0,P001
N000905,2,P001
N000913,1,P094
N000921,0,P001
N000929,2,P003
N000937,1,P094
N000945,0,P002
N000953,0,P240
N000961,3,P004
N000969,2,P094
N000977,0,P002
N000985,1,P006
N000993,2,P129
N001001,2,P001
N001009,4,P183
N001017,3,P094
N001025,0,P005
N001033,0,P136
N001041,4,P094
N001049,1,P004
N001057,0,P002
N001065,1,P103
N001073,6,P020
N001081,0,P010
N001089,2,P168
N001097,2,P240
N001105,0,P002
N001113,0,P020
N001121,4,P020
N001129,0,P046
N001137,0,P225
N001145,0,P002
N001153,0,P001
N001161,6,P006
