jaccard_similarity,candidate_probability
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009000000000000001,0.0
0.01,3.552713678800501e-15
0.011,7.105427357601002e-15
0.012,1.4210854715202004e-14
0.013000000000000001,2.4868995751603507e-14
0.014,4.618527782440651e-14
0.015,8.171241461241152e-14
0.016,1.3855583347321954e-13
0.017,2.2382096176443156e-13
0.018000000000000002,3.517186542012496e-13
0.019,5.435651928564766e-13
0.02,8.206768598029157e-13
0.021,1.2114753644709708e-12
0.022,1.7550405573274475e-12
0.023,2.504663143554353e-12
0.024,3.5207392556912964e-12
0.025,4.881428594671888e-12
0.026000000000000002,6.682654429823742e-12
0.027,9.038103598868474e-12
0.028,1.2089884648958105e-11
0.029,1.6008527836675057e-11
0.03,2.099653784171096e-11
0.031,2.7291946480545448e-11
0.032,3.518607627484016e-11
0.033,4.5005776883044746e-11
0.034,5.714539952350606e-11
0.035,7.205969154711056e-11
0.036000000000000004,9.027445457832073e-11
0.037,1.1240075536989025e-10
0.038,1.3912782037550642e-10
0.039,1.7126566831393575e-10
0.04,2.0971668845959357e-10
0.041,2.5551827320668963e-10
0.042,3.098463707829069e-10
0.043000000000000003,3.7402259067675914e-10
0.044,4.495426253470214e-10
0.045,5.380833556500875e-10
0.046,6.415241671220429e-10
0.047,7.619611608333798e-10
0.048,9.017355750984279e-10
0.049,1.0634551017574267e-09
0.05,1.2500009916038834e-09
0.051000000000000004,1.4645742396623973e-09
0.052000000000000005,1.7107097960433748e-09
0.053,1.992308540366139e-09
0.054,2.3136621507546806e-09
0.055,2.679485078260768e-09
0.056,3.094953626714414e-09
0.057,3.5657343744333048e-09
0.058,4.09801970135959e-09
0.059000000000000004,4.698573974337705e-09
0.06,5.374772626964841e-09
0.061,6.13463413401405e-09
0.062,6.9868839602804655e-09
0.063,7.940986535004413e-09
0.064,9.007198542576589e-09
0.065,1.0196632871384281e-08
0.066,1.1521297582639534e-08
0.067,1.2994163856028251e-08
0.068,1.4629222166995248e-08
0.069,1.6441546679679675e-08
0.07,1.8447362637452613e-08
0.07100000000000001,2.066411375345467e-08
0.07200000000000001,2.311053370895877e-08
0.073,2.5806723535914955e-08
0.074,2.8774230553807456e-08
0.075,3.203613330171606e-08
0.076,3.5617112148500496e-08
0.077,3.954356053714747e-08
0.078,4.384365848153493e-08
0.079,4.854747959193162e-08
0.08,5.368709066200239e-08
0.081,5.929664415038616e-08
