notice_id_a,notice_id_b,label,exact,estimate,abs_error
N010018,N010020,same,0.2513440860215054,0.296875,0.045530913978494625
N007876,N008565,different,0.22057787174066243,0.25390625,0.03332837825933757
N005451,N005452,same,0.3398576512455516,0.36328125,0.023423598754448383
N008464,N010231,different,0.1313050440352282,0.16015625,0.02885120596477181
N000420,N001104,different,0.2911392405063291,0.33984375,0.04870450949367089
N004781,N005219,different,0.27627627627627627,0.26171875,0.014557526276276267
N007021,N010547,different,0.3584699453551913,0.3125,0.04596994535519128
N004413,N008734,different,0.14785651793525809,0.1875,0.039643482064741914
N007783,N007784,same,0.31155778894472363,0.3125,0.0009422110552763652
N001104,N001107,same,0.31926863572433195,0.3984375,0.07916886427566805
N006958,N006959,same,0.49642857142857144,0.54296875,0.04654017857142856
N003107,N007431,different,0.40621531631520535,0.390625,0.015590316315205355
N010497,N011446,different,0.46940822467402205,0.47265625,0.0032480253259779546
N002561,N003545,different,0.13270142180094788,0.140625,0.007923578199052123
N004217,N007965,different,0.4584199584199584,0.4921875,0.03376754158004158
N006099,N006100,same,0.609271523178808,0.6328125,0.02354097682119205
N009010,N009562,different,0.16066725197541704,0.18359375,0.022926498024582964
N005332,N005333,same,0.8591549295774648,0.8671875,0.008032570422535246
N008288,N010448,different,0.45036764705882354,0.41015625,0.04021139705882354
N002391,N009409,different,0.15929941618015012,0.19140625,0.032106833819849884
N001001,N007428,different,0.20535714285714285,0.17578125,0.02957589285714285
N002919,N002920,same,0.9602836879432625,0.9765625,0.016278812056737535
N007223,N008301,different,0.29832402234636873,0.32421875,0.025894727653631266
N005352,N007867,different,0.16715257531584063,0.16796875,0.0008161746841593709
N007893,N007894,same,0.9003831417624522,0.91015625,0.009773108237547845
N002670,N007972,different,0.45875251509054327,0.4765625,0.017809984909456733
N006038,N008642,different,0.19114219114219114,0.21484375,0.023701558857808863
N004523,N007453,different,0.30311231393775373,0.37890625,0.07579393606224627
N006491,N010563,different,0.47058823529411764,0.484375,0.01378676470588236
N002902,N010086,different,0.2827868852459016,0.29296875,0.01018186475409838
N001013,N003939,different,0.32555425904317387,0.34765625,0.022101990956826134
N002612,N004456,different,0.16695205479452055,0.20703125,0.04007919520547945
N003308,N005945,different,0.1511627906976744,0.171875,0.02071220930232559
N002811,N007128,different,0.3070539419087137,0.2890625,0.017991441908713712
N007478,N011108,different,0.18858560794044665,0.24609375,0.05750814205955335
N001760,N001761,same,0.9673202614379085,0.97265625,0.005335988562091498
N004944,N009237,different,0.1808695652173913,0.20703125,0.02616168478260869
N008261,N008262,same,0.6118421052631579,0.609375,0.002467105263157854
N003630,N009918,different,0.24494949494949494,0.22265625,0.022293244949494945
N003948,N008608,different,0.15834767641996558,0.1796875,0.021339823580034417
N008997,N008998,same,0.5936395759717314,0.64453125,0.05089167402826855
N004789,N005917,different,0.34563758389261745,0.35546875,0.00983116610738255
N003672,N008071,different,0.4917218543046358,0.453125,0.038596854304635775
N009235,N009236,same,0.45390070921985815,0.48828125,0.034380540780141855
N001817,N002597,different,0.43283582089552236,0.4765625,0.04372667910447764
N000985,N000986,same,0.24399494310998734,0.26171875,0.017723806890012656
N000993,N010660,different,0.2865928659286593,0.296875,0.01028213407134071
N003269,N010318,different,0.3419633225458468,0.33203125,0.009932072545846826
N011750,N011966,different,0.3333333333333333,0.38671875,0.053385416666666685
N010357,N010360,same,0.9866518353726362,1.0,0.013348164627363768
N001163,N001165,same,0.9804560260586319,0.98828125,0.007825223941368087
N011255,N011732,different,0.3663624511082138,0.375,0.008637548891786195
N007191,N011803,different,0.14395229982964225,0.15625,0.01229770017035775
N003422,N008330,different,0.1689419795221843,0.18359375,0.014651770477815712
N004762,N011915,different,0.4385447394296952,0.45703125,0.018486510570304815
N006325,N006326,same,0.8861386138613861,0.8828125,0.0033261138613861485
N003658,N003661,same,0.9322033898305084,0.921875,0.010328389830508433
N010135,N010136,same,0.9890909090909091,0.984375,0.004715909090909132
N003079,N011928,different,0.4442082890541977,0.45703125,0.01282296094580232
N000268,N009659,different,0.5438144329896907,0.5625,0.018685567010309323
N001173,N001174,same,0.6656580937972768,0.73046875,0.0648106562027232
N004065,N007546,different,0.3901292596944771,0.34375,0.04637925969447709
