notice_id_a,notice_id_b,label,raw_words,cleaned_words,cleaned_3_shingles
N010018,N010020,same,0.3036093418259023,0.32547169811320753,0.2513440860215054
N007876,N008565,different,0.42736248236953456,0.4501557632398754,0.22057787174066243
N005451,N005452,same,0.40804597701149425,0.43302180685358255,0.3398576512455516
N008464,N010231,different,0.3072,0.30584192439862545,0.1313050440352282
N000420,N001104,different,0.470873786407767,0.48509485094850946,0.2911392405063291
N004781,N005219,different,0.47058823529411764,0.47692307692307695,0.27627627627627627
N007021,N010547,different,0.48295454545454547,0.5021097046413502,0.3584699453551913
N004413,N008734,different,0.3316239316239316,0.34011090573012936,0.14785651793525809
N007783,N007784,same,0.3797814207650273,0.40298507462686567,0.31155778894472363
N001104,N001107,same,0.41435185185185186,0.4424552429667519,0.31926863572433195
N006958,N006959,same,0.5329457364341085,0.5419354838709678,0.49642857142857144
N003107,N007431,different,0.5368217054263565,0.5522388059701493,0.40621531631520535
N010497,N011446,different,0.5780346820809249,0.5991735537190083,0.46940822467402205
N002561,N003545,different,0.3118279569892473,0.31021194605009633,0.13270142180094788
N004217,N007965,different,0.5649606299212598,0.5882352941176471,0.4584199584199584
N006099,N006100,same,0.7139959432048681,0.7098901098901099,0.609271523178808
N009010,N009562,different,0.3680555555555556,0.37243947858473,0.16066725197541704
N005332,N005333,same,0.9430604982206405,0.9402390438247012,0.8591549295774648
N008288,N010448,different,0.6128500823723229,0.6439114391143912,0.45036764705882354
N002391,N009409,different,0.3687821612349914,0.36065573770491804,0.15929941618015012
N001001,N007428,different,0.4042145593869732,0.4078674948240166,0.20535714285714285
N002919,N002920,same,0.9833729216152018,0.987012987012987,0.9602836879432625
N007223,N008301,different,0.4534412955465587,0.47191011235955055,0.29832402234636873
N005352,N007867,different,0.32922535211267606,0.32695984703632885,0.16715257531584063
N007893,N007894,same,0.9538461538461539,0.9554794520547946,0.9003831417624522
N002670,N007972,different,0.6053571428571428,0.6198019801980198,0.45875251509054327
N006038,N008642,different,0.38176197836166925,0.39429530201342283,0.19114219114219114
N004523,N007453,different,0.43736263736263736,0.4613466334164589,0.30311231393775373
N006491,N010563,different,0.5699115044247788,0.5988483685220729,0.47058823529411764
N002902,N010086,different,0.4723809523809524,0.48427672955974843,0.2827868852459016
N001013,N003939,different,0.5093167701863354,0.5454545454545454,0.32555425904317387
N002612,N004456,different,0.348993288590604,0.3464991023339318,0.16695205479452055
N003308,N005945,different,0.3157894736842105,0.3200992555831266,0.1511627906976744
N002811,N007128,different,0.48226950354609927,0.5052631578947369,0.3070539419087137
N007478,N011108,different,0.3682539682539683,0.37005163511187605,0.18858560794044665
N001760,N001761,same,0.9837662337662337,0.9854545454545455,0.9673202614379085
N004944,N009237,different,0.3487972508591065,0.3572744014732965,0.1808695652173913
N008261,N008262,same,0.728744939271255,0.7242888402625821,0.6118421052631579
N003630,N009918,different,0.42951541850220265,0.44254278728606355,0.24494949494949494
N003948,N008608,different,0.32362459546925565,0.32978723404255317,0.15834767641996558
N008997,N008998,same,0.6703910614525139,0.683076923076923,0.5936395759717314
N004789,N005917,different,0.564,0.5995475113122172,0.34563758389261745
N003672,N008071,different,0.6305555555555555,0.6301775147928994,0.4917218543046358
N009235,N009236,same,0.519163763066202,0.55859375,0.45390070921985815
N001817,N002597,different,0.51183970856102,0.5334645669291339,0.43283582089552236
N000985,N000986,same,0.3032258064516129,0.32242990654205606,0.24399494310998734
N000993,N010660,different,0.47770700636942676,0.49282296650717705,0.2865928659286593
N003269,N010318,different,0.5193050193050193,0.544468546637744,0.3419633225458468
N011750,N011966,different,0.5216494845360825,0.5506912442396313,0.3333333333333333
N010357,N010360,same,0.9958847736625515,0.9956427015250545,0.9866518353726362
N001163,N001165,same,0.9908256880733946,0.9896907216494846,0.9804560260586319
N011255,N011732,different,0.5193965517241379,0.5682382133995038,0.3663624511082138
N007191,N011803,different,0.3015075376884422,0.3041144901610018,0.14395229982964225
N003422,N008330,different,0.3412322274881517,0.35714285714285715,0.1689419795221843
N004762,N011915,different,0.5547024952015355,0.5746421267893661,0.4385447394296952
N006325,N006326,same,0.9572192513368984,0.9589442815249267,0.8861386138613861
N003658,N003661,same,0.9706840390879479,0.9818840579710145,0.9322033898305084
N010135,N010136,same,0.9942363112391931,0.9936507936507937,0.9890909090909091
N003079,N011928,different,0.5294117647058824,0.5371549893842887,0.4442082890541977
N000268,N009659,different,0.6203703703703703,0.6525,0.5438144329896907
N001173,N001174,same,0.7259615384615384,0.736,0.6656580937972768
N004065,N007546,different,0.5343035343035343,0.5438202247191011,0.3901292596944771
N000702,N007932,different,0.3212025316455696,0.3253012048192771,0.1417004048582996
N009387,N009517,different,0.4897959183673469,0.5103448275862069,0.30424799081515497
N000358,N007166,different,0.4570815450643777,0.4694835680751174,0.2888086642599278
N007841,N011872,different,0.32710280373831774,0.3333333333333333,0.1382716049382716
N000576,N000577,same,0.27800829875518673,0.2869757174392936,0.21107266435986158
N003372,N008041,different,0.4930966469428008,0.5131004366812227,0.2938689217758985
N006470,N009323,different,0.5526802218114603,0.5714285714285714,0.4443368828654405
N001685,N001686,same,0.7396694214876033,0.7371937639198218,0.6446927374301676
N002358,N005690,different,0.5113871635610766,0.544392523364486,0.32075471698113206
N002216,N002218,same,0.9784615384615385,0.9795221843003413,0.9071146245059288
N003837,N007101,different,0.5305410122164049,0.5542635658914729,0.3956692913385827
N008995,N010419,different,0.4601226993865031,0.48291571753986334,0.2992874109263658
N001394,N003813,different,0.31556503198294245,0.3215962441314554,0.18781725888324874
