threshold,TP,FP,FN,TN,cost
0.5,194,27,85,594,625
0.52,191,16,88,605,408
0.54,185,7,94,614,234
0.56,177,1,102,620,122
0.58,167,1,112,620,132
0.6,155,0,124,621,124
0.62,143,0,136,621,136
0.64,137,0,142,621,142
0.66,130,0,149,621,149
0.68,120,0,159,621,159
0.7,117,0,162,621,162
0.72,107,0,172,621,172
0.74,104,0,175,621,175
0.76,101,0,178,621,178
0.78,100,0,179,621,179
0.8,98,0,181,621,181
0.82,97,0,182,621,182
0.84,96,0,183,621,183
0.86,93,0,186,621,186
0.88,84,0,195,621,195
0.9,71,0,208,621,208
0.92,55,0,224,621,224
0.94,37,0,242,621,242
